Store_Type,Transaction_ID,Customer_ID,Product_ID,Source_Price,Source_Currency,Item_Price_USD,Quantity,Line_Total_USD,Transaction_Date,Transaction_Time,Category,Country
,ORD-BR-00177,CUST-BR-0045,PROD-BR-018,359.51,BRL,71.9,2,143.8,2025-06-28,14:52,alimentos,Brazil
,INV-500429,CUST-UK-14081,SC00037,12.68,GBP,22.96,6,137.76,2025-06-28,14:45,Product L-37,United Kingdom
,INV-500367,CUST-UK-11625,SC00019,2.53,GBP,0.76,13,9.88,2025-06-29,17:47,Product T-19,Spain
,ORD-BR-00403,CUST-BR-0035,PROD-BR-031,125.07,BRL,25.01,3,75.03,2025-06-29,17:47,moda,Brazil
,INV-500148,CUST-UK-12414,SC00033,11.95,GBP,13.7,2,27.4,2025-06-29,17:59,Product H-33,United Kingdom
,INV-500288,CUST-UK-11084,SC00027,1.15,GBP,15.48,12,185.76,2025-06-29,12:58,Product B-27,France
,ORD-BR-00240,CUST-BR-0042,PROD-BR-027,228.41,BRL,45.68,2,91.36,2025-06-29,22:08,moda,Brazil
,ORD-BR-00059,CUST-BR-0048,PROD-BR-010,420.87,BRL,84.17,3,252.51,2025-06-30,23:58,eletronicos,Brazil
,INV-500040,CUST-UK-17412,SC00037,3.98,GBP,5.05,24,121.2,2025-06-30,20:18,Product L-37,Germany
,INV-500492,CUST-UK-11532,SC00040,2.24,GBP,7.09,5,35.45,2025-06-30,16:42,Product O-40,United Kingdom
,INV-500006,CUST-UK-15059,SC00030,1.03,GBP,1.31,13,17.03,2025-06-30,16:38,Product E-30,France
,INV-500426,CUST-UK-16918,SC00005,5.84,GBP,18.17,16,290.72,2025-06-30,16:02,Product F-5,Germany
,ORD-BR-00301,CUST-BR-0045,PROD-BR-015,375.42,BRL,75.08,2,150.16,2025-06-30,19:33,moda,Brazil
,INV-500336,CUST-UK-17331,SC00019,19.01,GBP,19.91,24,477.84,2025-06-30,16:06,Product T-19,United Kingdom
,INV-500183,CUST-UK-15912,SC00047,5.89,GBP,4.34,23,99.82,2025-07-01,17:24,Product V-47,United Kingdom
,ORD-BR-00101,CUST-BR-0074,PROD-BR-005,354.86,BRL,70.97,2,141.94,2025-07-02,15:19,utilidades_domesticas,Brazil
,INV-500005,CUST-UK-13652,SC00036,20.35,GBP,25.84,9,232.56,2025-07-03,17:03,Product K-36,Spain
,ORD-BR-00112,CUST-BR-0057,PROD-BR-007,441.39,BRL,88.28,3,264.84,2025-07-03,14:54,moda,Brazil
,ORD-BR-00141,CUST-BR-0020,PROD-BR-004,381.96,BRL,76.39,3,229.17,2025-07-03,13:04,utilidades_domesticas,Brazil
,ORD-BR-00439,CUST-BR-0065,PROD-BR-010,167.06,BRL,33.41,3,100.23,2025-07-04,23:38,utilidades_domesticas,Brazil
,INV-500056,CUST-UK-10983,SC00013,13.29,GBP,16.88,15,253.2,2025-07-04,16:06,Product N-13,Spain
,INV-500185,CUST-UK-15470,SC00023,16.42,GBP,1.88,19,35.72,2025-07-05,13:00,Product X-23,United Kingdom
,INV-500412,CUST-UK-15376,SC00006,11.22,GBP,29.74,6,178.44,2025-07-05,12:58,Product G-6,France
,ORD-BR-00030,CUST-BR-0058,PROD-BR-019,202.96,BRL,40.59,1,40.59,2025-07-05,21:18,utilidades_domesticas,Brazil
,ORD-BR-00192,CUST-BR-0001,PROD-BR-024,96.92,BRL,19.38,3,58.14,2025-07-05,22:54,esportes,Brazil
,ORD-BR-00047,CUST-BR-0053,PROD-BR-021,177.54,BRL,35.51,3,106.53,2025-07-06,22:08,eletronicos,Brazil
,INV-500202,CUST-UK-11219,SC00025,13.57,GBP,5.19,17,88.23,2025-07-06,17:44,Product Z-25,Spain
,INV-500240,CUST-UK-16554,SC00021,19.63,GBP,19.85,3,59.55,2025-07-07,20:24,Product V-21,Germany
,INV-500133,CUST-UK-13289,SC00039,11.69,GBP,0.76,11,8.36,2025-07-07,15:38,Product N-39,United Kingdom
,ORD-BR-00292,CUST-BR-0069,PROD-BR-027,373.06,BRL,74.61,2,149.22,2025-07-07,12:52,utilidades_domesticas,Brazil
