Store_Type,Transaction_ID,Customer_ID,Product_ID,Source_Price,Source_Currency,Item_Price_USD,Quantity,Line_Total_USD,Transaction_Date,Transaction_Time,Category,Country
,INV-500398,CUST-UK-15226,SC00050,8.59,GBP,26.04,22,572.88,2025-07-13,17:11,Product Y-50,United Kingdom
,ORD-BR-00286,CUST-BR-0023,PROD-BR-009,42.0,BRL,8.4,1,8.4,2025-07-13,15:19,eletronicos,Brazil
,INV-500258,CUST-UK-12641,SC00039,11.68,GBP,10.87,13,141.31,2025-07-13,09:30,Product N-39,Germany
,INV-500369,CUST-UK-14089,SC00016,7.84,GBP,5.72,13,74.36,2025-07-13,16:52,Product Q-16,Spain
,INV-500291,CUST-UK-13535,SC00005,22.13,GBP,2.64,20,52.8,2025-07-14,13:58,Product F-5,France
,INV-500136,CUST-UK-16105,SC00012,17.29,GBP,26.63,22,585.86,2025-07-15,14:21,Product M-12,United Kingdom
,ORD-BR-00083,CUST-BR-0042,PROD-BR-037,59.23,BRL,11.85,1,11.85,2025-07-15,12:15,utilidades_domesticas,Brazil
,INV-500074,CUST-UK-13204,SC00003,9.2,GBP,8.69,17,147.73,2025-07-16,17:04,Product D-3,France
,ORD-BR-00259,CUST-BR-0077,PROD-BR-040,298.85,BRL,59.77,3,179.31,2025-07-16,13:26,utilidades_domesticas,Brazil
,INV-500147,CUST-UK-14299,SC00050,3.13,GBP,6.53,5,32.65,2025-07-16,10:56,Product Y-50,France
,INV-500358,CUST-UK-15514,SC00008,8.21,GBP,19.44,15,291.6,2025-07-17,16:46,Product I-8,France
,INV-500338,CUST-UK-14440,SC00018,17.75,GBP,11.68,16,186.88,2025-07-18,09:47,Product S-18,Spain
,ORD-BR-00161,CUST-BR-0020,PROD-BR-001,381.96,BRL,76.39,3,229.17,2025-07-18,08:36,moda,Brazil
,INV-500513,CUST-UK-17734,SC00019,4.46,GBP,6.25,12,75.0,2025-07-18,14:26,Product T-19,Spain
,INV-500425,CUST-UK-11923,SC00003,5.67,GBP,12.0,10,120.0,2025-07-18,17:15,Product D-3,Germany
,INV-500085,CUST-UK-14033,SC00005,8.21,GBP,4.0,2,8.0,2025-07-18,09:15,Product F-5,Germany
,INV-500071,CUST-UK-13586,SC00041,21.46,GBP,15.57,4,62.28,2025-07-18,08:47,Product P-41,United Kingdom
