order_id,customer_id,product_id,price,order_purchase_timestamp,order_item_id,product_category_name
ORD-BR-00001,CUST-BR-0036,PROD-BR-008,388.49,2025-08-13 18:21:17,1,utilidades_domesticas
ORD-BR-00002,CUST-BR-0043,PROD-BR-018,346.1,2026-03-22 09:48:17,3,eletronicos
ORD-BR-00003,CUST-BR-0011,PROD-BR-015,210.92,2026-03-30 18:13:17,2,eletronicos
ORD-BR-00004,CUST-BR-0063,PROD-BR-007,372.9,2025-11-23 10:37:17,2,esportes
ORD-BR-00005,CUST-BR-0019,PROD-BR-006,256.24,2026-01-26 13:09:17,3,esportes
ORD-BR-00006,CUST-BR-0023,PROD-BR-028,344.77,2025-08-04 19:31:17,2,utilidades_domesticas
ORD-BR-00007,CUST-BR-0078,PROD-BR-002,403.51,2026-03-23 11:47:17,3,utilidades_domesticas
ORD-BR-00008,CUST-BR-0030,PROD-BR-014,34.05,2026-04-21 16:54:17,2,eletronicos
ORD-BR-00009,CUST-BR-0055,PROD-BR-033,338.97,2026-01-26 10:26:17,2,esportes
ORD-BR-00010,CUST-BR-0073,PROD-BR-002,219.26,2026-06-29 13:02:17,2,esportes
ORD-BR-00011,CUST-BR-0011,PROD-BR-013,221.93,2026-04-27 10:10:17,1,esportes
ORD-BR-00012,CUST-BR-0076,PROD-BR-027,377.22,2025-10-02 15:22:17,2,eletronicos
ORD-BR-00013,CUST-BR-0025,PROD-BR-029,377.03,2026-02-26 16:48:17,2,esportes
ORD-BR-00014,CUST-BR-0072,PROD-BR-018,311.89,2026-04-30 18:05:17,1,utilidades_domesticas
ORD-BR-00015,CUST-BR-0016,PROD-BR-011,18.2,2026-02-28 09:32:17,3,moda
ORD-BR-00016,CUST-BR-0038,PROD-BR-022,354.62,2026-04-24 18:22:17,3,alimentos
ORD-BR-00017,CUST-BR-0046,PROD-BR-010,75.81,2026-01-30 13:12:17,1,eletronicos
ORD-BR-00018,CUST-BR-0053,PROD-BR-022,260.88,2025-08-22 13:22:17,2,utilidades_domesticas
